Title,Alternate title,Genre,Primary Source Verification,Notes,Production Company,Production date,Distribution date,Length (reels),Actors,Directors,Producers,Camerawork,Attachments,Source,Writer,Otherwise Involved,Link to media,Distributor
Re-Birth of a Nation,,,,,Peter P. Jones Photoplay Ltd.,1/1/16,,,,Jones,Jones,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Reckless Money,,Comedy,,,Dudley Film Company,1/1/26,,,"Dudley,La Rue",Dudley,Dudley,Watkins of Durham,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",Dudley,,,
Reformation,,,,"Sampson gives the production company as Democracy, Cripps as Dones. --MP",Democracy Photoplay Corporation,1/1/20,1/1/20,5,Dones,,,,,"Slow Fade to Black,Blacks in Black and White",,,,Bookertee Film Company
Regeneration,,Drama,,,Norman Film Manufacturing Company,1/1/23,1/1/23,6,"Mayo,Maxwell,Norcom,Gaines,Brown ,Rucker,Reynolds",Norman,Norman,,,"Oscar Micheaux and His Circle,Richard E. Norman and Race Filmmaking",,,,
Renissance Newsreel,,Newsreel,,,Leigh Whipper Film Company,1/1/21,,,,Whipper,Whipper,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Return of Black Hawk,,,out (25).pdf (https://dl.airtable.com/AuTt82hCQpq7IQGPgU91_out%20(25).pdf),"No record of release.""MAURICE FILMS."" The Chicago Defender (National Edition) (1921-1967), Apr 09, 1921. --MP",Maurice Film Company,1/1/21,,,,Maurice,Maurice,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Revival Day,,,,,Vitaphone,1/1/14,,,Timblin,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Roll Along,,Comedy,,Cast in black face. ,Christie Film Company,1/1/29,,,,,Christie,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Saddle Daze,,,,,,1/1/26,,,Wild West Rodeo,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Sam and the Bully,,,,,Lubin Manufacturing Company,1/1/14,12/12/14,,"Edwards,Edwards,Smith",Lubin,Lubin,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",Sargent,,,
Sam Langford-Jim Flynn Prize Fight,,Newsreel,,,Western Film Production Company,1/1/10,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Samba,,,,Germany,"Muchener Lichtspielkunst Emelka,Coloniale du Film",1/1/28,,,,Bruckner,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Sambo and Jemima,,Comedy,,Blackface,,1/1/00,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Sambo Comedies ,,Comedy,,,Baby Marie Productions,1/1/19,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Seeing Kansas City in Action,,Actuality,,,St. Paul Presbyterian Church,1/1/21,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Shadowed by the Devil,,Drama,,"B53, F28",Unique Film Company,1/1/16,,3,"Fletcher,Mills",,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",George P. Johnson Negro Film Collection",Webb,,,
Shake It Up,,,,,Vitaphone,1/1/29,,,"Moran,Challis",,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Shine Johnson and the Rabbit Foot,,Comedy,,,Ebony Film Corporation,1/1/17,,,"Robinson,Jacks,Starks,Mason,Murphy,Skekeeter,Price,Brogsdale,Duree,Pollard",,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,General Film Company
"Shoot 'Em Up, Sam",,Western,,,Black Western Film Company,1/1/22,,,Nolan,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Shuffling Jane,,,,,Tropical Photoplay Company,1/1/21,,,Boyer,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Sissle and Blake,,,,First appearance of black actors in a sound film. One of earliest experimental sound films,Lee De Forest Phonofilms,1/1/23,,,"Sissle,Blake",De Forest,De Forest,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Sissle and Blake,,,,,Vitaphone,1/1/30,,,"Blake,Sissle",,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Slave Days,,,,,Tiffany Film Company,1/1/30,,,Forbes Randolf Kentuck Jubilee Singers,Forbes,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Slim-the-Cow-Puncher,,,,,Al Bartlett Film Manufacturing Company,1/1/14,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Smile Film of Colored Troops' Folks,,Actuality,out (11).pdf (https://dl.airtable.com/oKmT37qORTpKKlNuuAqt_out%20(11).pdf),"""The Herald and Examiner described the crowds assembled in GrantPark as â€œthe largest gathering of negroes ever flmed in the world.â€ù"" (Field 2016, 63).Clubs to be taken in ""smile movie"". (1918, Nov 09). The Chicago Defender (Big Weekend Edition). --MP",Foster Photoplay Company,11/1/18,11/1/18,,,"Foster,Weber",Foster,"Foster,Weber",,The Ambitions of William Foster,Weber,,,
Smiling Hate,,Drama,,,Superior Arts Motion Picture Company,1/1/24,1/1/24,6,"Henderson,Talley,Agusta,Milton,Clayton,Smith,Lee",,Calnek,,,"Richard E. Norman and Race Filmmaking,""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",Blacks in Black and White","Ujiffy,Alger,Fish",Alger,,
Snappy Tunes,,,,Musical,Lee De Forest Phonofilms,1/1/23,,,,"Sissle,Blake",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Song After Sorrow,,,,"Part of Record Group 200 HF Series, Harmon Foundation Collection. National Archives Gift Collection",,1/1/29,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Southern Revellers,,,,Musical,Vitaphone,1/1/28,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Spider's Web,The Spider's Web,Drama,,,Micheaux Film Corporation,1/1/26,1/1/27,7,"Preer,McLane,Thompson,Jackson,Smythe,Loveless,Rodgers,Gulport,Williams,Diggs,Major,Barr,Williams",Micheaux,Micheaux,,,"Slow Fade to Black,Blacks in Black and White",Micheaux,,,
Spitfire,,Drama,,,Reol Productions Corporation,1/1/22,7/24/22,5,"Morton,Chenault,Brown,Martin,Young,Slater,Robinson,Robinson,Cook,Williams,Smith",,,,"""Spitfire"""". - NYPL Digital Collections.pdf (https://dl.airtable.com/3H6YVucPQpGiRbqWvMPb_Spitfire%22.%20-%20NYPL%20Digital%20Collections.pdf)"",""Spitfire"""" 1- NYPL Digital Collections.pdf (https://dl.airtable.com/JRpVMqtgS2msuJvYzQXH_Spitfire%22%201-%20NYPL%20Digital%20Collections.pdf)"",""Spitfire""""2 - NYPL Digital Collections.pdf (https://dl.airtable.com/WqLWnV6tQueXCqShi3b7_Spitfire%222%20-%20NYPL%20Digital%20Collections.pdf)"",""Spitfire"""" 4 - NYPL Digital Collections.pdf (https://dl.airtable.com/0Ow6mlH8Qg6U18K1NMiz_Spitfire%22%204%20-%20NYPL%20Digital%20Collections.pdf)"",""Spitfire""""5 - NYPL Digital Collections.pdf (https://dl.airtable.com/aXP2EhhxTfmSXKa0gMUe_Spitfire%225%20-%20NYPL%20Digital%20Collections.pdf)"",""Spitfire"""" 7 - NYPL Digital Collections.pdf (https://dl.airtable.com/tp9xnwS2ZwCtMyI1tOgk_Spitfire%22%207%20-%20NYPL%20Digital%20Collections.pdf)"",""Spitfire""""6 - NYPL Digital Collections.pdf (https://dl.airtable.com/FkUfaGXBQGinPh2XUsqa_Spitfire%226%20-%20NYPL%20Digital%20Collections.pdf)""","Slow Fade to Black,""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926"",Blacks in Black and White",,,http://digitalcollections.nypl.org/items/510d47df-fb81-a3d9-e040-e00a18064a99,
Spooks,,,,,Ebony Film Corporation,1/1/17,1/1/18,,,,,,,Richard E. Norman and Race Filmmaking,,,,
Spying the Spy,,Comedy,,,Ebony Film Corporation,1/1/18,1/1/18,,,,,,,"Richard E. Norman and Race Filmmaking,Blacks in Black and White",,,,
Square Joe,,,,,"Eureka,E.S.&L. Colored Picture Photoplay Company",,,,Jeannette,,,,,Slow Fade to Black,,,,
St. Louis Blues,,Drama,,"Produced at Gramercy Studio of RCA Photophone, Inc.",Blackhawk Films,1/1/29,,,"Smith,Mordecai,Washington,Howard,Lee,Hall Johnson Chorus",Murphy,Sack,Strenge,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""","Shields,Handy,Johnson ,Oschmann",,,Sack Amusement Enterprises
Steamboat Bill Jr.,,,,"Box 2, Arnster, Willie",,1/1/27,,,"Keaton,Torrence,Arnster",,,,,George P. Johnson Negro Film Collection,,,,
Steamer Mascotte Arriving at Tampa,,"Newsreel,Actuality",,,,1/1/1898,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Steppin' High,,,,,Superior Arts Motion Picture Company,1/1/24,1/1/24,,Lee,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Sunshine Sammy,,,,,Metro-Goldwyn-Mayer,1/1/29,,,Morison,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Swami Sam,,Comedy,,,Lubin Manufacturing Company,1/1/14,10/13/14,,"Edwards,Edwards,Lorain,Lawrence,Ferrando",Lubin,Lubin,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",Sargent,,,
Syncopated Sermon,,,,Musical,Vitaphone,1/1/30,,,"Robinson,Hall Johnson Chorus",Mack,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Tarzan,,,,,,1/1/27,1/1/27,,Baker,,,,,,,,,
Temptation,,Drama,,,Micheaux Film Corporation,,,,"Bishop,Moses,Tucker,Rogers,Chester",,,,,Slow Fade to Black,,,,
Ten Nights in a Bar-Room ,Ten Nights in a Barrooom,Drama,,"""Black version of William Pratt's temperance novel""Richards gives the length as 5 reels, Musser (in Bowser et al.) gives the length as 8. Cast list combines information from Musser and Richards. --MP",Colored Players Film Corporation of Philadelphia,1/1/26,,5,"Gilpin,Chenault,Burwell,Clayton,Henderson,Smith,Mickey,Moore,Johnson",Calnek,"Starkman,Groner",,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",Calnek,,,
Tenderfeet,,,,"Box 4, George P. Johnson Collection, Clarence Brooks folder. --MP",Midnight Productions,1/1/28,1/1/28,,"Williams,Washington,Washington,Bell,Robinson",Williams,Williams,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",George P. Johnson Negro Film Collection",,,,
"The $10,000 Trail",The Ten Thousand Dollar Trail,Western,,"Box 4, Bookertee Film Exchange folder, GPJ Collection --MP",Bookertee Film Company,1/1/21,1/1/21,2,"Dones,Rowland,Dumont,Henderson,Ross,Herman,Teal,Faltenburg,Patrick,Smith,Crockett,Dennis",,Dones,,,"George P. Johnson Negro Film Collection,Frame by Frame: A Black Filmography (Part 1),Blacks in Black and White,""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",Mitchell,,,E.L. Cummings
The Assignment,,,,,,,,,Portman,Reynolds,Conrad,,,George P. Johnson Negro Film Collection,,,,
The Avenging Arrow,,,,"Box 50, folder 3, The Houston Informer, APril 22, 1921",,1/1/21,,,,,,,,George P. Johnson Negro Film Collection,,,,
The Bar Sinister,,Drama,,,Frank Hall Production,1/1/17,1/1/17,,,,Lewis,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",Frame by Frame: A Black Filmography (Part 1)",,,,
The Barber,,,,"""Scenario published in the Defender August 5, 1916, p. 10."" (Field 2016).",Foster Photoplay Company,1/1/16,,,"Holt,Kelly,Lillerson,Harris,Arnold,Joynes",Foster,Foster,,,The Ambitions of William Foster,Foster,,,
The Beauty Contest,,Comedy,,,PathÃ©,1/1/21,1/1/21,2,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
The Birth of a Race,Lincoln's Dream,Drama,,"""an epic tale of interracial cooperation and humanity that began in theGarden of Eden and continued into the twentieth century"" (Caddoo)","The Photoplay Corporation,Birth of a Race Film Company",1/1/18,1/1/18,12,,Noble,Scott,,,"Envisioning Freedom: Cinema and the Building of Modern Black Life,""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
The Black Boomerang,,,,,William H. Clifford Photoplay Company,1/1/25,1/1/25,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
The Broken Violin,,Drama,clipping_5223072.pdf (https://dl.airtable.com/bisPGxJcQFGT6fdCDzuA_clipping_5223072.pdf),"The Pittsburgh Courier (Pittsburgh, Pennsylvania), 25 Aug 1928, Sat â€¢ Page 14",Micheaux Film Corporation,1/1/26,1/1/29,7,"Snelson,Tutt,Foster,Horne,Dabney,Hill,Smith,Russell,Clayton,Whitney,Paul",Micheaux,Micheaux,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",Oscar Micheaux and His Circle",Micheaux,,https://www.newspapers.com/clip/5223072//,
The Brute,"The Brute: The Story of a Gambler, Mr. Bull Magee","Drama,Boxing",,,Micheaux Film Corporation,1/1/20,8/1/20,,"Preer,DeComathiere,Langford,Criner,Sutton,Chenault,Gorgas,Cutler,Tatum,Bowman,Edwards,Williams,Clements,Schooler,Plater,Gaines",Micheaux,Micheaux,,,"American Film Institute Catalog,""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",Oscar Micheaux and His Circle",,,,
The Bull-Dogger,The Bull Doggers,Western,,Richards gives release date as 1923; Bowser et al. gives date as 1921.,Norman Film Manufacturing Company,1/1/21,1/1/21,5,"Bush,Chenault,Reynolds,Turpin,Pickett,Larkin,Haddon,Lucas",Norman,Norman,,,"Oscar Micheaux and His Circle,""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
The Bully,,Comedy,,,Ebony Film Corporation,1/1/18,1/1/18,,"Robinson,Jacks,Starks,Mason,Murphy,Skekeeter,Price,Brogsdale,Duree",,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
The Burden of Race,,Drama,,,Reol Productions Corporation,9/1/21,12/1/21,6,"Chenault,Morton,Verwayen,Williams,Young,Ray",,,,"""""""The burden of race"""". - NYPL Digital Collections.pdf (https://dl.airtable.com/j3QmMP7TF6VvbhwzyhIl_%22The%20burden%20of%20race%22.%20-%20NYPL%20Digital%20Collections.pdf)"",""""""The burden of race"""" 2 - NYPL Digital Collections.pdf (https://dl.airtable.com/G9gqaagQTusQ6TWhpyZa_%22The%20burden%20of%20race%22%202%20-%20NYPL%20Digital%20Collections.pdf)"",""""""The burden of race""""3 - NYPL Digital Collections.pdf (https://dl.airtable.com/U6en6diATC2jRYTzX6zL_%22The%20burden%20of%20race%223%20-%20NYPL%20Digital%20Collections.pdf)"",""""""The burden of race"""" 4 - NYPL Digital Collections.pdf (https://dl.airtable.com/ma8FHXdjQ5aRPTjzg7fw_%22The%20burden%20of%20race%22%204%20-%20NYPL%20Digital%20Collections.pdf)"",""""""The burden of race"""" 5 - NYPL Digital Collections.pdf (https://dl.airtable.com/9UZYDFnTkaz1TAYYGTtG_%22The%20burden%20of%20race%22%205%20-%20NYPL%20Digital%20Collections.pdf)"",""""""The burden of race"""" 6 - NYPL Digital Collections.pdf (https://dl.airtable.com/5l3u94aWSBCMy5lCamj4_%22The%20burden%20of%20race%22%206%20-%20NYPL%20Digital%20Collections.pdf)"",""""""The burden of race"""" 7 - NYPL Digital Collections.pdf (https://dl.airtable.com/g2R47nZWRTqBNrMUbxfv_%22The%20burden%20of%20race%22%207%20-%20NYPL%20Digital%20Collections.pdf)""","""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926"",Frame by Frame: A Black Filmography (Part 1),Blacks in Black and White",Duncan,,http://digitalcollections.nypl.org/items/510d47df-fb49-a3d9-e040-e00a18064a99,
The Busted Romance,,Comedy,,,Ebony Film Corporation,1/1/17,1/1/17,,,,,,,Richard E. Norman and Race Filmmaking,,,,
The Butler,,Drama,,Richards gives the release date as 1911. --MP,Foster Photoplay Company,1/1/13,8/1/13,2,,,Foster,,,"Envisioning Freedom: Cinema and the Building of Modern Black Life,""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
The Butler,,,,,Foster Photoplay Company,1/1/13,,,,,,,,Redefining Black Film,,,,
The Call of His People,,Drama,,Richards give release date as 1921. --MP,Reol Productions Corporation,1/1/22,1/1/22,6,"Gilbert,Brown,Morton,Verwayen,Chenault,Kemp,Steven",,,,"""""""The call of his people"""". - NYPL Digital Collections.pdf (https://dl.airtable.com/fSxPa2HCTYGJ9DM0SMwO_%22The%20call%20of%20his%20people%22.%20-%20NYPL%20Digital%20Collections.pdf)"",""""""The call of his people"""" 2- NYPL Digital Collections.pdf (https://dl.airtable.com/upRVNFuTKmxn8HG2qHCg_%22The%20call%20of%20his%20people%22%202-%20NYPL%20Digital%20Collections.pdf)"",""""""The call of his people"""" 3 - NYPL Digital Collections.pdf (https://dl.airtable.com/TcBhed7oT4y10d7ERnq6_%22The%20call%20of%20his%20people%22%203%20-%20NYPL%20Digital%20Collections.pdf)"",""""""The call of his people"""" 4 - NYPL Digital Collections.pdf (https://dl.airtable.com/jgmboZ5lQ1y4cYfCRwG4_%22The%20call%20of%20his%20people%22%204%20-%20NYPL%20Digital%20Collections.pdf)"",""""""The call of his people"""" 5 - NYPL Digital Collections.pdf (https://dl.airtable.com/xHpuPSESQUqgCVBgSThV_%22The%20call%20of%20his%20people%22%205%20-%20NYPL%20Digital%20Collections.pdf)"",""""""The call of his people"""" 6 - NYPL Digital Collections.pdf (https://dl.airtable.com/Q2fHpINdTt6QGpVu8e7V_%22The%20call%20of%20his%20people%22%206%20-%20NYPL%20Digital%20Collections.pdf)"",""""""The call of his people"""" 7 - NYPL Digital Collections.pdf (https://dl.airtable.com/1aD2YEIVR5imBLFXd69d_%22The%20call%20of%20his%20people%22%207%20-%20NYPL%20Digital%20Collections.pdf)""","""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926"",""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",Brower,,http://digitalcollections.nypl.org/items/510d47df-fb50-a3d9-e040-e00a18064a99,
The Call of His People,,Drama,,,Reol Productions Corporation,1/1/22,1/1/22,,,,,,,Richard E. Norman and Race Filmmaking,Bowser,,,
The Charge of the Black Brigade,,Actuality,,,,1/1/21,1/1/21,4,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
The Colored American Wining His Suit,,Drama,,"Cast list from Richards. --MPDiscrepancy: Sampson gives the production date as 1919 (p. 95). --MP",Frederick Douglass Film Company,1/1/16,1/1/16,5,"Mosley,Askins,Snead,Davis,King,Leighton,Snead,Snead",,,,,"The Ambitions of William Foster,Slow Fade to Black,""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",Frame by Frame: A Black Filmography (Part 1),Blacks in Black and White",,,,
The Colored Championship Base Ball Game,Andrew â€œRubeâ€ù Foster and the Chicago American Giants,Actuality,,,Foster Photoplay Company,9/1/14,11/1/14,,Foster,Foster,Foster,,,"The Ambitions of William Foster,""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
The Comeback of Barnacle Bill,,Comedy,,,Ebony Film Corporation,1/1/18,1/1/18,,"Robinson,Jacks,Starks,Mason,Murphy,Skekeeter,Price,Brogsdale,Duree,Junior",,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",Migrating to the Movies: Cinema and Black Urban Modernity",,,,
The Confession,,Drama,,"Box 50, folder 3, The Houston Informer, APril 22, 1921",,1/1/21,,,Walthall,,,,,George P. Johnson Negro Film Collection,,,,
The Conjure Woman,,Drama,,,Micheaux Film Corporation,1/1/26,1/1/26,,"Preer,Verwayen,Chenault,Sewall,Wilkes,Easton",Micheaux,Micheaux,,,"Slow Fade to Black,""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",Oscar Micheaux and His Circle","Micheaux,Chesnutt",,,
The Count,,,,,Centrake Cinematographique,1/1/27,,,Baker,,,,,,,,,
The Crimson Fog,,,,,Paragon Pictures,,,,,,,,,Blacks in Black and White,,,,
The Crimson Skull,,Western,,"There were two versions. 7-reel version released in 1921; 6-reel version released 1922.image from: http://www.normanstudios.org/norman-films-stars/norman-players/",Norman Film Manufacturing Company,1/1/21,1/1/22,7,"Bush,Chenault,Pickett,Larkin,Haddon,Reynolds",Norman,Norman,,crimson-skull-6.jpg (https://dl.airtable.com/EtvqfQmR4Ww6zSYMGq3L_crimson-skull-6.jpg),"Oscar Micheaux and His Circle,""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
The Custard Nine,,Comedy,,"Full cast list from Richards. --MP, produced at Perry studio N.Y. ",Harris Dickson Film Company,1/1/21,1/1/21,2,"Muse,Custard,Criddle,Jenkins,Fletcher,Tatum",Haywood,,,,"Richard E. Norman and Race Filmmaking,""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",George P. Johnson Negro Film Collection",,,,PathÃ©
The Dawn of Truth,,,,Richards gives release date as 1916. --MP,Peter P. Jones Photoplay Ltd.,1/1/18,,,,Jones,Jones,Jones,,"The Documentary Film Reader,""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
The Debt,,Drama,,,,1/1/12,1/1/12,2,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
The Devil's Disciple,,Drama,,Also a 5-reel version. --MP,Micheaux Film Corporation,1/1/25,1/1/26,6,"Preer,Chenault,Thompson,Verwayen",Micheaux,Micheaux,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",Oscar Micheaux and His Circle",Micheaux,,,
The Devil's Match,,Drama,,,North State,1/1/23,1/1/23,,"Long,Smart",,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",Blacks in Black and White",,,,E & H Distributing Company
The Devils,,,,,E & H Distributing Company,1/1/23,1/1/23,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
The Disappearance of Mary Jane,,Comedy,,,Acme Film Distribution Corporation,1/1/21,1/1/21,,Cox,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,Acme Film Distribution Corporation
The Dungeon,,Drama,,"Cast lists consistent in Richards and Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). --MP",Micheaux Film Corporation,1/1/22,1/1/22,7,"Fountaine,Goodman,Howard,Crowell,Cooke,Thompson,Preer",Micheaux,Micheaux,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",Oscar Micheaux and His Circle",Micheaux,,,Micheaux Film Corporation
The Exile,,,,"Micheax's first big venture in dramatic talking field (Pittsburg Courier, May 23, 1931); Premiered in Lafayette Theatre, New York",,,,,"Brooks,Moore,Mahon,Norsette,Cole,Morrell,Noisette,Newsome,Randol,Vernon,Cook,Holder,Heywood,Harper,DeComathiere","Micheaux,Harper",,,,George P. Johnson Negro Film Collection,,,,
The Eyes of Mystery,,,,"Box 14",,1/24/18,,,"Dempsey,Byrd",,,,,George P. Johnson Negro Film Collection,,,,
The Eyes of Youth,,Drama,,,Quality Amusement Company,1/1/20,1/1/20,,Mitchell,Levy,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
The Fall Guy,,Comedy,,"""Foster screened these flms at the States, Grand, and Pekin Theatres inChicago as well as at theaters catering to black patrons in St. Louis, KansasCity, New York City, and Birmingham, Alabama."" (Field, 2016)",Foster Photoplay Company,1/1/13,8/1/13,2,,,,,,"The Ambitions of William Foster,""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",Moore,,,Foster Photoplay Company
The Fall Guy,,,,,Foster Photoplay Company,1/1/13,,,,,,,,Redefining Black Film,,,,
The Fall of the Mighty,,,,,Al Bartlett Film Manufacturing Company,1/1/13,1/1/13,,"Arnett,Jones,Bradford,Arnett,Lochart,McGarr,Taylor,Fox",,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
The Fighting Deacon,,"Drama,Boxing",,,Tiger Flowers & Walt Miller,1/1/25,1/1/25,,"Flowers,Lawson",,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,Milton Star
The Fighting Deacon,,,,Box 14,,1/1/26,,5,Flowers,,,,,George P. Johnson Negro Film Collection,,,,
The Flames of Wrath,,Drama,,Discrepancy: Sampson gives the release date as 1922. --MP,Western Film Production Company,1/1/23,1/1/23,5,"Mankins,Burton,Pearson,Kelson,Johnson,Colbert",,Williams,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
The Flaming Crisis,Flaming Crisis,Drama,,,"Monarch,Mesco Productions",1/1/24,1/1/24,6,"Dunbar,Nicholson,White,Dixon,Sherman,Chester,Yeargan,Butler",,Goldman,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",Blacks in Black and White",,,,Mesco Productions
The Florian Slappey Series,,Comedy,,,Octavus Cohen,1/1/25,1/1/25,,,,Cohen,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
The Flying Ace,,Drama,,"Image without airplane from: http://www.indiana.edu/~liblilly/blog/wp-content/uploads/2013/09/flyingace.jpgImage with airplane from: http://www.normanstudios.org/norman-films-stars/norman-films/the-flying-ace/",Norman Film Manufacturing Company,1/1/26,1/1/26,6,"Boyd,Colvin,Brown ,Reynolds,Criner,Platts,DeLegge,Daniels,Jordan",Norman,Norman,,"flyingace.jpg (https://dl.airtable.com/5yIzP0UoStidqOHTY9ui_flyingace.jpg),NS-FlyingAcePoserMed.jpg (https://dl.airtable.com/06CM9Lp8RwuE8NKqXAvq_NS-FlyingAcePoserMed.jpg)","""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
The Gator and the Pickaninny,,,,,Edison,1/1/03,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
The Girl from Chicago,,,,,Micheaux Film Corporation,1/1/32,,,"Smith,Mahon,Wilson,Brooks,Cato,Calloway,Hernandez,Everett,Russell,Thornton,Evans,Harris",,Russell,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
The Girl from the Pepper Patch,,,,,Lone Star,1/1/22,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
The Golden Lion,,,,,FBO,1/1/27,1/1/27,,Baker,,,,,,,,,
The Grafter and the Maid,The Grafter and the Girl,,,,Foster Photoplay Company,1/1/13,,2,"Gradie,Mills,Harrison,Moore,Brown,Cooper",,Foster,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",Envisioning Freedom: Cinema and the Building of Modern Black Life,Redefining Black Film",Mills,,,
The Greatest Sin,,,,"See Box 17, The Greatest Sin folder, GPJ Collection. --MP",Trio Productions,1/1/22,,4,"Lewis,Mix",,,,,"Blacks in Black and White,George P. Johnson Negro Film Collection",,,,
The Green Eyed Monster,,"Comedy,Drama",out (13).pdf (https://dl.airtable.com/4cTOndEMTRTUHgWMKBLg_out%20(13).pdf),"Box 53, F28, GPJ Collection.Discrepancy: Sampson (p.105) gives the production date as 1921, while Johnson gives the production date as 1919. Contemporary newspapers show that the film was distributed in 1921. --MP""'THE GREEN EYED MONSTER'."" The Chicago Defender (National Edition) (1921-1967), Jul 09, 1921.",Norman Film Manufacturing Company,1/1/21,,8,"Austin,Dunbar",,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",George P. Johnson Negro Film Collection",,,,
